email;password;company_name;logo
admin@admin.com;admin;admin; https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/adminLogo.png
andertonlabequipment@gmail.com;hlestbdq;Anderton Lab Equipment Ltd;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Anderton%20Lab%20Equipment%20Ltd.png
learfinishing@gmail.com;bsjnakov;Lear Finishing Ltd;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Lear%20Finishing%20Ltd.png
leonardkitchens@gmail.com;vublcrcz;Leonard Kitchens Ltd;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Leonard%20Kitchens%20Ltd.png
ingramautomotive@gmail.com;jrcioqfb;Ingram Automotive Ltd;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Ingram%20Automotive%20Ltd.png
holmesvideoservices@gmail.com;aywfptta;Holmes Video Services Ltd;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Holmes%20Video%20Services%20Ltd.png
finehirecars@gmail.com;htgipurq;Fine Hire Cars Ltd;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Fine%20Hire%20Cars%20Ltd.png
ogradyexhibitions@gmail.com;bnfpxutw;O'Grady Exhibitions;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/O'Grady%20Exhibitions.png
yorkecycles@gmail.com;qpvqjekq;Yorke Cycles;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Yorke%20Cycles.png
riversidetransport@gmail.com;lvnoigay;Riverside Transport;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Riverside%20Transport.png
dimblebyrefrigeration@gmail.com;sxuzkxvj;Dimbleby Refrigeration;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Dimbleby%20Refrigeration.png
saddlemoreofficefurniture@gmail.com;ggmihbpp;Saddlemore Office Furniture;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Saddlemore%20Office%20Furniture.png
diamondphotography@gmail.com;elkunats;Diamond Photography;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Diamond%20Photography.png
suttonbuilders@gmail.com;zwxwuhtd;Sutton Builders;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Sutton%20Builders.png
experttechnologies@gmail.com;oshurdcp;Expert Technologies;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Expert%20Technologies.png
ingemanworkshops@gmail.com;mtrjvmjx;Ingeman Workshops;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Ingeman%20Workshops.png
silverfabrics@gmail.com;fjtzojj;Silver Fabrics;https://raw.githubusercontent.com/ajgoras/job-search-mern/main/csv/images/Silver%20Fabrics.png
